G1 | MC1 | IP: 192.168.1.9 | Downtime: 2025-06-24 22:37:31.625688 - 2025-06-24 22:37:33.662562 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 22:39:06.400682 - 2025-06-24 22:39:08.673538 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 22:40:44.257691 - 2025-06-24 22:40:46.378481 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 22:41:05.676441 - 2025-06-24 22:41:07.731278 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 22:47:37.277322 - 2025-06-24 22:47:39.365619 | Duration: 0:00:02 | Date: 2025-06-24
G1 | MC1 | IP: 192.168.1.9 | Downtime: 2025-06-24 22:50:28.591762 - 2025-06-24 22:50:30.645746 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 22:52:09.502921 - 2025-06-24 22:52:11.561323 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 22:59:11.830751 - 2025-06-24 22:59:14.147715 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 23:03:19.609138 - 2025-06-24 23:03:21.653719 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 23:07:39.567658 - 2025-06-24 23:07:41.654038 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 23:10:27.284853 - 2025-06-24 23:10:29.386628 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 23:20:38.338891 - 2025-06-24 23:20:40.416064 | Duration: 0:00:02 | Date: 2025-06-24
G1 | MC1 | IP: 192.168.1.9 | Downtime: 2025-06-25 22:39:17.076796 - 2025-06-25 22:42:03.696264 | Duration: 0:02:46 | Date: 2025-06-25
G1 | MC1 | IP: 192.168.1.9 | Downtime: 2025-06-25 22:44:43.053180 - 2025-06-25 22:45:24.712579 | Duration: 0:00:41 | Date: 2025-06-25
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 20:37:20.699422 - 2025-06-26 20:37:31.843033 | Duration: 0:00:11 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 20:41:14.126344 - 2025-06-26 20:41:16.619093 | Duration: 0:00:02 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 20:45:46.845719 - 2025-06-26 20:45:49.596736 | Duration: 0:00:02 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 20:46:17.093687 - 2025-06-26 20:46:19.486894 | Duration: 0:00:02 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 20:46:47.336321 - 2025-06-26 20:46:49.487612 | Duration: 0:00:02 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 21:51:00.085980 - 2025-06-26 21:51:15.230940 | Duration: 0:00:15 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 21:51:18.399592 - 2025-06-26 21:51:21.276286 | Duration: 0:00:02 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 21:52:34.683177 - 2025-06-26 21:52:37.660101 | Duration: 0:00:02 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 21:56:48.161622 - 2025-06-26 21:56:50.488586 | Duration: 0:00:02 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 22:01:13.839389 - 2025-06-26 22:01:15.918832 | Duration: 0:00:02 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 22:02:17.900769 - 2025-06-26 22:02:20.032099 | Duration: 0:00:02 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 22:03:55.576914 - 2025-06-26 22:04:00.791679 | Duration: 0:00:05 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 22:04:47.557432 - 2025-06-26 22:04:49.738910 | Duration: 0:00:02 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 22:05:05.903628 - 2025-06-26 22:05:08.875190 | Duration: 0:00:02 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 22:05:18.114067 - 2025-06-26 22:05:20.754140 | Duration: 0:00:02 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 22:06:13.150527 - 2025-06-26 22:06:16.153177 | Duration: 0:00:03 | Date: 2025-06-26
